"","name","quant10_disp","quant50_disp","quant90_disp"
"1","Alabama",-2.08441996893226e-11,3.38316682491599e-10,5.17440522750739e-10
"2","Alaska",1.44541786343203e-09,2.11651160799342e-09,2.51333852870419e-09
"3","Arizona",-1.02120676243389e-10,9.67175022784696e-10,1.12175254809635e-09
"4","Arkansas",-6.73294126830854e-10,-4.05165406895282e-10,-1.35779077460955e-10
"5","California",-1.05990721885707e-09,6.28875404234218e-10,1.01393530857967e-09
"6","Colorado",-3.49095144327131e-10,9.04951568550041e-10,1.10693222837522e-09
"7","Connecticut",-2.10162871255951e-09,-1.97607866983924e-09,-1.97607866983924e-09
"8","Delaware",-1.95204540172766e-09,-1.85052862711896e-09,-1.18754769214546e-09
"9","Florida",-7.40975217477204e-10,-1.28733896769949e-10,4.66552741548922e-10
"10","Georgia",-4.10414841694505e-10,2.63106034629369e-10,4.69655393024322e-10
"11","Hawaii",-2.41825168948099e-10,4.17629626205967e-11,1.8067745058381e-10
"12","Idaho",4.90668283834284e-10,8.79498534943462e-10,1.34024633374011e-09
"13","Illinois",-1.89614081126174e-09,-7.86195611501098e-11,3.16336589774664e-10
"14","Indiana",-6.68001463162033e-10,-1.2747059317641e-10,2.55227171029809e-10
"15","Iowa",-1.14451273988318e-09,-7.20038634488112e-10,-1.82002512953976e-10
"16","Kansas",-9.73318863859662e-10,2.43560674246779e-10,6.63817077305521e-10
"17","Kentucky",2.16624863473821e-10,5.26681234884507e-10,8.10119868135672e-10
"18","Louisiana",-4.66800436994903e-10,-2.42086676933834e-10,-3.89324386019447e-11
"19","Maine",-5.38875961649727e-10,-1.73817675583551e-10,-1.60194437246163e-11
"20","Maryland",-1.76042298421427e-09,-1.59515813206207e-09,-1.83685645003704e-10
"21","Massachusetts",-2.10162871255951e-09,-2.10162871255951e-09,-1.97607866983924e-09
"22","Michigan",-1.55935684835657e-09,-3.64457821529686e-10,-1.00716757866834e-10
"23","Minnesota",-1.88494955737608e-09,-3.30947694652208e-10,6.81411166168399e-12
"24","Mississippi",-3.22117062328931e-10,1.70137204577193e-11,2.41428237752525e-10
"25","Missouri",-5.14698733545572e-10,-7.06056517927108e-11,3.6152521831975e-10
"26","Montana",1.16582458773061e-09,1.6283292574428e-09,1.8463945037123e-09
"27","Nebraska",-1.00477244882699e-09,7.39593401104053e-10,1.16995389822626e-09
"28","Nevada",3.33996419095261e-10,9.98430452922834e-10,1.14828379037648e-09
"29","New Hampshire",-2.19258843738747e-09,-1.35904357092433e-09,-5.19681504257505e-10
"30","New Jersey",-1.85052862711896e-09,-1.85052862711896e-09,-1.85052862711896e-09
"31","New Mexico",3.17986275471332e-10,6.55977047705954e-10,1.0039543483145e-09
"32","New York",-1.97607866983924e-09,-4.11316468591129e-10,-4.50586867607029e-11
"33","North Carolina",4.64566329276982e-11,3.07584926647535e-10,6.08211751378394e-10
"34","North Dakota",-5.47745896857733e-10,2.69724548710748e-10,9.88940065979444e-10
"35","Ohio",-2.83176357834581e-10,8.85675109741958e-11,5.19223940384997e-10
"36","Oklahoma",-1.56663045073156e-09,-2.37287837690972e-10,5.31002585905923e-10
"37","Oregon",-2.2861089390505e-10,1.10740359364288e-09,1.292611400787e-09
"38","Pennsylvania",-1.85052862711896e-09,-3.50306229211561e-10,1.55430396140508e-10
"39","Rhode Island",-9.58913767668923e-10,-9.58913767668923e-10,-9.58913767668923e-10
"40","South Carolina",-4.85778280378127e-10,-3.5873203180437e-10,2.41386760079895e-10
"41","South Dakota",-3.04628540417867e-11,9.1287982742727e-10,1.48930575944373e-09
"42","Tennessee",1.40808654649996e-10,4.50176854314007e-10,6.89615334758948e-10
"43","Texas",-5.26089106090922e-10,8.40880326391817e-12,5.16586982989476e-10
"44","Utah",-3.95127574238125e-10,8.68016879553625e-10,1.07100151483943e-09
"45","Vermont",-2.04369358273785e-09,-8.6113098156153e-10,-4.64113852772421e-10
"46","Virginia",-1.51231218550516e-09,2.78954249675294e-10,6.68060235473944e-10
"47","Washington",-8.03691089794418e-10,1.08162183648925e-09,1.40203136388437e-09
"48","West Virginia",-2.26883488358632e-10,4.56187684166245e-10,5.82376354790106e-10
"49","Wisconsin",-2.12084555583302e-09,-5.76084076142363e-10,-1.06557342052646e-10
"50","Wyoming",5.04370346496184e-10,9.11351877351798e-10,1.43765939659438e-09
