"","subregion","quant10_disp","quant50_disp","quant90_disp"
"1","Antarctica",1.21706674065573e-10,6.18515452806052e-10,1.68484007026264e-09
"2","Australia and New Zealand",2.02035826344167e-11,3.76033287660938e-10,9.00131072983983e-10
"3","Caribbean",-1.11128120605521e-09,-5.4661171122643e-10,-7.54878359758444e-11
"4","Central America",-7.78152744082971e-10,-7.1858908469326e-11,5.53086701325143e-10
"5","Central Asia",6.46597264526324e-11,7.8629409325278e-10,2.15061871724994e-09
"6","Eastern Africa",-3.67815760459689e-10,1.46751045573781e-10,3.81798740003502e-10
"7","Eastern Asia",-2.33030093137412e-09,-1.50406049465572e-11,8.1042697538049e-10
"8","Eastern Europe",-2.50003097396543e-10,3.83055189506181e-10,1.24323099847977e-09
"9","Melanesia",1.32566956657744e-10,2.42264631759154e-10,3.53338644619772e-10
"10","Micronesia",2.06278883576184e-10,2.78127281448586e-10,3.49975679320988e-10
"11","Middle Africa",-4.59444364378026e-11,2.18033258384e-10,5.17095232314492e-10
"12","Northern Africa",1.85522587914084e-10,7.58141909115607e-10,1.11071905585301e-09
"13","Northern America",-7.56598287186597e-11,1.02063781875938e-09,2.28098925270314e-09
"14","Northern Europe",-6.74052823970112e-10,1.7817049016648e-10,1.14010743664779e-09
"15","Polynesia",3.42330858780157e-10,3.43020777041567e-10,3.43710695302977e-10
"16","Seven seas (open ocean)",1.12689715788843e-10,2.52534576696192e-10,4.22436933391628e-10
"17","South-Eastern Asia",-1.75335945917218e-09,-2.53759263879917e-10,2.35459588953304e-10
"18","South America",-2.96649121074683e-10,2.10819359684453e-10,7.16404399198356e-10
"19","Southern Africa",-8.92326880884947e-10,1.62784679094989e-10,5.44838125151105e-10
"20","Southern Asia",-2.00367619198481e-09,-5.03631751882029e-10,3.98838808919393e-10
"21","Southern Europe",-1.07202605667722e-09,-2.10005522308273e-10,3.39082307335601e-10
"22","Western Africa",-1.08776896254524e-09,3.0880296313766e-10,7.24874181714904e-10
"23","Western Asia",-1.92814145205703e-10,3.47139003528704e-10,8.07946773882939e-10
"24","Western Europe",-2.34034461011269e-09,-1.36161296344349e-09,-5.05184641771515e-10
